17,22,73,77,75,0,88,0,50,1,840.1
16,0,84,71,71,15,73,11,50,1,56.545
3,0,68,16,100,0,92,0,50,1,52.651
27,10,50,50,77,18,50,21,50,1,49.721
19,75,0,13,76,93,0,50,0,1,52.613
8,50,50,50,71,6,50,14,50,1,51.448
5,50,29,11,75,50,50,15,18,1,55.464
14,84,20,79,41,58,13,66,50,1,58.287
11,28,50,72,50,19,16,50,50,1,56.402
13,50,19,0,100,13,18,0,100,1,54.388
22,0,100,0,100,0,100,0,50,1,46.625
7,21,90,93,73,1,26,0,50,1,60.308
10,33,80,55,100,0,59,33,50,1,62.174
1,100,12,87,78,81,11,23,20,1,56.896
6,100,0,95,71,99,0,27,26,1,60.92
23,50,50,50,96,29,27,33,34,1,50.672
15,63,0,70,56,39,0,29,50,1,56.793
25,28,14,7,100,7,4,0,59,1,56.407
2,6,60,55,95,14,11,2,50,1,60.624
18,50,32,50,79,64,13,0,60,1,54.582
26,50,17,50,75,19,15,17,25,1,69.458
20,0,81,0,100,0,72,0,78,1,58.67
12,0,67,73,100,0,80,0,50,1,51.112
9,13,100,18,100,0,89,80,50,1,56.392
21,1,89,24,80,4,88,0,50,1,51.968
24,50,15,73,50,0,14,50,50,1,51.247
4,29,22,20,100,15,50,7,50,1,46.895
