21,55,0,56,0,95,55,77,56,1,75.097
5,0,73,0,100,0,99,0,100,1,65.113
2,0,100,0,72,0,100,64,100,1,73.52
15,85,56,81,11,78,68,64,18,1,74.747
10,0,100,0,0,0,100,75,85,1,61.844
6,0,100,0,100,0,100,0,100,1,57.742
27,16,90,76,89,22,74,79,27,1,68.144
16,34,100,73,92,22,73,66,67,1,133.99
13,40,0,0,100,82,62,0,64,1,76.248
7,62,7,76,64,73,31,65,20,1,100.2
4,0,80,0,100,0,100,0,100,1,58.135
20,0,82,0,0,0,100,100,100,1,49.857
24,14,72,29,35,0,79,72,88,1,49.649
26,71,59,100,100,36,62,0,63,1,59.898
25,42,14,25,0,62,54,100,57,1,55.584
18,11,54,100,95,70,32,4,28,1,54.82
14,60,78,72,89,20,45,61,7,1,60.433
22,0,21,0,100,0,100,0,100,1,80.182
1,68,59,91,100,32,8,0,32,1,52.6
3,37,62,77,87,38,71,62,19,1,67.688
17,64,71,86,100,0,59,0,32,1,54.592
23,30,79,56,64,8,64,62,42,1,55.042
12,0,66,0,59,4,100,0,100,1,122.57
8,24,75,62,16,29,65,75,38,1,62.881
19,72,0,34,100,100,3,0,41,1,50.705
9,13,88,58,40,23,60,62,61,1,56.789
11,31,59,0,100,0,100,0,100,1,92.332
